fix_id,league_id,home_team,away_team,home_score,away_score,season,result,model_prediction,m_homewin,m_draw,m_awaywin,p_h,p_d,p_a,pc_h,pc_d,pc_a
20510,64,Barcelona,Real Sociedad,3,2,17,0,0,0.6775242,0.2616614,0.0608144,0.819672,0.13245,0.064935,0.813008,0.135685,0.074405
20509,64,Leganes,Espanyol,0,1,17,2,0,0.413033,0.3257511,0.261216,0.471698,0.309598,0.239234,0.446429,0.314465,0.259067
20508,64,Valencia,Sevilla,0,0,17,1,0,0.4244868,0.331467,0.2440463,0.387597,0.269542,0.363636,0.341297,0.27248,0.406504
20507,64,Real Betis,Eibar,2,0,17,0,0,0.457325,0.3147551,0.22792,0.371747,0.294118,0.353357,0.333333,0.314465,0.371747
20505,64,Alaves,Villarreal,2,1,17,0,0,0.3403547,0.3242479,0.3353975,0.3367,0.31348,0.37037,0.30581,0.306748,0.408163
20504,64,Sevilla,Granada CF,2,0,17,0,0,0.6143068,0.2904417,0.0952515,0.847458,0.114943,0.059347,0.854701,0.107181,0.055096
20503,64,Malaga,Valencia,2,0,17,0,0,0.43527,0.3227823,0.2419477,0.442478,0.28169,0.295858,0.454545,0.283286,0.28169
20502,64,Villarreal,Leganes,2,1,17,0,0,0.6044079,0.3017408,0.0938514,0.595238,0.26738,0.157233,0.625,0.248756,0.144718
20500,64,Espanyol,Atletico Madrid,0,1,17,2,2,0.2988972,0.2922534,0.4088493,0.18622,0.263158,0.571429,0.176056,0.285714,0.558659
20497,64,Las Palmas,Alaves,1,1,17,1,0,0.5551561,0.3181496,0.1266943,0.492611,0.27248,0.255754,0.478469,0.284091,0.257732
20496,64,Real Madrid,Barcelona,2,3,17,2,0,0.4427308,0.3159553,0.2413139,0.473934,0.249377,0.297619,0.505051,0.240385,0.274725
20495,64,Eibar,Athletic Club,0,1,17,2,0,0.3862583,0.3209912,0.2927505,0.3861,0.289855,0.344828,0.333333,0.308642,0.378788
20493,64,Granada CF,Malaga,0,2,17,2,0,0.4089615,0.3122802,0.2787583,0.268097,0.271003,0.480769,0.247525,0.260417,0.512821
20492,64,Atletico Madrid,Villarreal,0,1,17,2,0,0.5719603,0.3107299,0.1173097,0.684932,0.226757,0.106952,0.694444,0.222717,0.10352
20491,64,Barcelona,Osasuna,7,1,17,0,0,0.7512741,0.2170208,0.0317051,0.952381,0.042481,0.02592,0.952381,0.044444,0.021277
20489,64,Leganes,Las Palmas,3,0,17,0,0,0.4114552,0.3320514,0.2564935,0.588235,0.252525,0.181488,0.662252,0.215054,0.143062
20490,64,Valencia,Real Sociedad,2,3,17,2,0,0.4858654,0.3272091,0.1869254,0.374532,0.271003,0.374532,0.348432,0.289017,0.381679
20487,64,Alaves,Eibar,0,0,17,1,0,0.4092044,0.3249114,0.2658843,0.3663,0.304878,0.348432,0.392157,0.319489,0.308642
20485,64,Athletic Club,Real Betis,2,1,17,0,0,0.5489098,0.3136636,0.1374266,0.729927,0.18797,0.103306,0.714286,0.198413,0.107991
20483,64,Real Sociedad,Granada CF,2,1,17,0,0,0.5506753,0.304519,0.1448057,0.847458,0.123762,0.055835,0.847458,0.114286,0.056497
20482,64,Real Madrid,Valencia,2,1,17,0,0,0.6718668,0.2681619,0.0599712,0.840336,0.10929,0.0777,0.877193,0.086957,0.058824
20481,64,Las Palmas,Atletico Madrid,0,5,17,2,2,0.3066981,0.3015338,0.3917681,0.204499,0.241546,0.584795,0.143062,0.207469,0.671141
20480,64,Espanyol,Barcelona,0,3,17,2,2,0.1797312,0.2334223,0.5868465,0.063735,0.12987,0.833333,0.074074,0.140845,0.806452
20478,64,Real Betis,Alaves,1,4,17,2,0,0.5346944,0.3140422,0.1512634,0.460829,0.308642,0.261097,0.625,0.235294,0.157729
20477,64,Eibar,Leganes,2,0,17,0,0,0.5301055,0.3177401,0.1521544,0.452489,0.304878,0.273224,0.431034,0.324675,0.26455
20475,64,Malaga,Sevilla,4,2,17,0,0,0.3793001,0.3232173,0.2974827,0.25641,0.263158,0.510204,0.244499,0.243902,0.531915
20474,64,Sevilla,Real Sociedad,1,1,17,1,0,0.5444648,0.3171284,0.1384069,0.617284,0.224719,0.176678,0.595238,0.240964,0.18315
20472,64,Atletico Madrid,Eibar,1,0,17,0,0,0.6297127,0.2851274,0.0851599,0.769231,0.182815,0.069204,0.757576,0.183486,0.080645
20471,64,Barcelona,Villarreal,4,1,17,0,0,0.6468281,0.2780853,0.0750865,0.847458,0.10929,0.062305,0.877193,0.093897,0.052632
20470,64,Granada CF,Real Madrid,0,4,17,2,2,0.1438054,0.2055143,0.6506803,0.041477,0.088496,0.892857,0.03308,0.073529,0.917431
20469,64,Alaves,Athletic Club,1,0,17,0,2,0.3296832,0.3171203,0.3531966,0.207039,0.27027,0.543478,0.214133,0.285714,0.518135
20468,64,Valencia,Osasuna,4,1,17,0,0,0.5936075,0.2990177,0.1073748,0.8,0.140056,0.08,0.787402,0.148148,0.084746
20465,64,Leganes,Real Betis,4,0,17,0,0,0.4191439,0.3240608,0.2567953,0.584795,0.25974,0.17452,0.571429,0.257069,0.189036
20464,64,Espanyol,Valencia,0,1,17,2,0,0.4422702,0.3212436,0.2364862,0.423729,0.277008,0.319489,0.401606,0.292398,0.326797
20463,64,Osasuna,Granada CF,2,1,17,0,0,0.4261863,0.3116467,0.262167,0.568182,0.246305,0.205761,0.613497,0.228833,0.175439
20455,64,Athletic Club,Leganes,1,1,17,1,0,0.6017812,0.3022431,0.0959758,0.699301,0.209205,0.114155,0.662252,0.220264,0.138313
20456,64,Real Betis,Atletico Madrid,1,1,17,1,2,0.2784695,0.2805877,0.4409428,0.156986,0.242131,0.621118,0.150376,0.229885,0.641026
20458,64,Las Palmas,Barcelona,1,4,17,2,2,0.1867404,0.243862,0.5693976,0.043478,0.078125,0.900901,0.035088,0.084746,0.900901
20459,64,Real Madrid,Sevilla,4,1,17,0,0,0.6310795,0.2894402,0.0794803,0.833333,0.112486,0.076394,0.813008,0.124688,0.085251
20460,64,Real Sociedad,Malaga,2,2,17,1,0,0.5091217,0.318716,0.1721623,0.632911,0.224719,0.163399,0.675676,0.209205,0.136612
20453,64,Granada CF,Espanyol,1,2,17,2,0,0.3949992,0.3088311,0.2961697,0.221729,0.246914,0.552486,0.189753,0.223714,0.606061
20451,64,Leganes,Alaves,1,1,17,1,0,0.4954249,0.3288007,0.1757745,0.480769,0.280112,0.263852,0.510204,0.277008,0.232558
20449,64,Sevilla,Osasuna,5,0,17,0,0,0.6430102,0.2801377,0.0768522,0.862069,0.102987,0.058072,0.854701,0.102354,0.060938
20446,64,Atletico Madrid,Athletic Club,3,1,17,0,0,0.5644917,0.3096399,0.1258685,0.5,0.273224,0.250627,0.471698,0.290698,0.259067
20448,64,Valencia,Villarreal,1,3,17,2,0,0.4449877,0.3336045,0.2214077,0.321543,0.26738,0.431034,0.343643,0.271739,0.404858
20444,64,Barcelona,Eibar,4,2,17,0,0,0.6969322,0.2497234,0.0533443,0.934579,0.064185,0.024783,0.943396,0.052632,0.027778
20445,64,Malaga,Real Madrid,0,2,17,2,2,0.2001342,0.2529546,0.5469112,0.07874,0.13369,0.806452,0.063898,0.150376,0.806452